Added first text with WriteFile(). 
Added text 477 to the file
Added text 481 to the file
Added text 479 to the file
Added text 483 to the file
Added text 485 to the file
Added text 482 to the file
Added text 484 to the file
Added text 487 to the file
Added text 486 to the file
Added text 489 to the file
Added text 490 to the file
Added text 488 to the file
Added text 493 to the file
Added text 492 to the file
Added text 491 to the file
Added text 495 to the file
Added text 494 to the file
Added text 496 to the file
Added text 497 to the file
Added text 498 to the file
Added text 499 to the file
Added text 501 to the file
Added text 500 to the file
Added text 502 to the file
Added text 503 to the file
Added text 505 to the file
Added text 504 to the file
Added text 506 to the file
Added text 508 to the file
Added text 507 to the file
Added text 510 to the file
Added text 511 to the file
Added text 509 to the file
Added text 513 to the file
Added text 512 to the file
Added text 514 to the file
Added text 515 to the file
Added text 516 to the file
Added text 517 to the file
Added text 518 to the file
Added text 520 to the file
Added text 521 to the file
Added text 519 to the file
Added text 522 to the file
Added text 523 to the file
Added text 524 to the file
Added text 526 to the file
Added text 525 to the file
Added text 527 to the file
Added text 528 to the file
Added text 530 to the file
Added text 529 to the file
Added text 531 to the file
Added text 533 to the file
Added text 532 to the file
Added text 534 to the file
Added text 535 to the file
Added text 536 to the file
Added text 537 to the file
Added text 538 to the file
Added text 539 to the file
Added text 541 to the file
Added text 540 to the file
Added text 542 to the file
Added text 545 to the file
Added text 544 to the file
Added text 543 to the file
Added text 546 to the file
Added text 547 to the file
Added text 549 to the file
Added text 548 to the file
Added text 550 to the file
Added text 551 to the file
Added text 553 to the file
Added text 552 to the file
Added text 554 to the file
Added text 555 to the file
Added text 557 to the file
Added text 558 to the file
Added text 556 to the file
Added text 559 to the file
Added text 560 to the file
Added text 561 to the file
Added text 562 to the file
Added text 563 to the file
Added text 564 to the file
Added text 566 to the file
Added text 565 to the file
Added text 567 to the file
Added text 568 to the file
Added text 569 to the file
Added text 573 to the file
Added text 570 to the file
Added text 572 to the file
Added text 571 to the file
Added text 574 to the file
Added text 576 to the file
Added text 575 to the file
Added text 577 to the file
Added text 578 to the file
Added text 580 to the file
Added text 579 to the file
Added text 581 to the file
Added text 582 to the file
Added text 583 to the file
Added text 584 to the file
Added text 585 to the file
Added text 586 to the file
Added text 587 to the file
Added text 589 to the file
Added text 591 to the file
Added text 593 to the file
Added text 588 to the file
Added text 594 to the file
Added text 595 to the file
Added text 592 to the file
Added text 590 to the file
Added text 596 to the file
Added text 597 to the file
Added text 599 to the file
Added text 600 to the file
Added text 598 to the file
Added text 601 to the file
Added text 602 to the file
Added text 603 to the file
Added text 605 to the file
Added text 604 to the file
Added text 607 to the file
Added text 606 to the file
Added text 608 to the file
Added text 609 to the file
Added text 610 to the file
Added text 611 to the file
Added text 612 to the file
Added text 613 to the file
Added text 614 to the file
Added text 615 to the file
Added text 616 to the file
Added text 617 to the file
Added text 618 to the file
Added text 619 to the file
Added text 620 to the file
Added text 623 to the file
Added text 622 to the file
Added text 624 to the file
Added text 621 to the file
Added text 625 to the file
Added text 626 to the file
Added text 627 to the file
Added text 629 to the file
Added text 628 to the file
Added text 630 to the file
Added text 632 to the file
Added text 633 to the file
Added text 631 to the file
Added text 635 to the file
Added text 634 to the file
Added text 637 to the file
Added text 636 to the file
Added text 638 to the file
Added text 639 to the file
Added text 640 to the file
Added text 641 to the file
Added text 642 to the file
Added text 643 to the file
Added text 645 to the file
Added text 644 to the file
Added text 646 to the file
Added text 648 to the file
Added text 647 to the file
Added text 649 to the file
Added text 650 to the file
Added text 651 to the file
Added text 652 to the file
Added text 653 to the file
Added text 654 to the file
Added text 655 to the file
Added text 656 to the file
Added text 657 to the file
Added text 658 to the file
Added text 660 to the file
Added text 661 to the file
Added text 659 to the file
Added text 662 to the file
Added text 663 to the file
Added text 664 to the file
Added text 666 to the file
Added text 665 to the file
Added text 667 to the file
Added text 668 to the file
Added text 669 to the file
Added text 670 to the file
Added text 672 to the file
Added text 671 to the file
Added text 674 to the file
Added text 673 to the file
Added text 675 to the file
Added text 676 to the file
Added text 677 to the file
Added text 678 to the file
Added text 679 to the file
Added text 681 to the file
Added text 680 to the file
Added text 682 to the file
Added text 683 to the file
Added text 684 to the file
Added text 686 to the file
Added text 685 to the file
Added text 691 to the file
Added text 687 to the file
Added text 688 to the file
Added text 690 to the file
Added text 692 to the file
Added text 689 to the file
Added text 694 to the file
Added text 695 to the file
Added text 696 to the file
Added text 697 to the file
Added text 699 to the file
Added text 693 to the file
Added text 698 to the file
Added text 700 to the file
Added text 701 to the file
Added text 702 to the file
Added text 704 to the file
Added text 703 to the file
Added text 706 to the file
Added text 707 to the file
Added text 705 to the file
Added text 708 to the file
Added text 709 to the file
Added text 710 to the file
Added text 712 to the file
Added text 713 to the file
Added text 714 to the file
Added text 715 to the file
Added text 716 to the file
Added text 717 to the file
Added text 711 to the file
Added text 718 to the file
Added text 719 to the file
Added text 721 to the file
Added text 720 to the file
Added text 723 to the file
Added text 722 to the file
Added text 724 to the file
Added text 725 to the file
Added text 726 to the file
Added text 727 to the file
Added text 729 to the file
Added text 728 to the file
Added text 731 to the file
Added text 730 to the file
Added text 732 to the file
Added text 733 to the file
Added text 734 to the file
Added text 737 to the file
Added text 735 to the file
Added text 736 to the file
Added text 739 to the file
Added text 738 to the file
Added text 740 to the file
Added text 741 to the file
Added text 742 to the file
Added text 744 to the file
Added text 743 to the file
Added text 745 to the file
Added text 746 to the file
Added text 747 to the file
Added text 749 to the file
Added text 750 to the file
Added text 751 to the file
Added text 748 to the file
Added text 752 to the file
Added text 754 to the file
Added text 753 to the file
Added text 755 to the file
Added text 756 to the file
Added text 757 to the file
Added text 759 to the file
Added text 758 to the file
Added text 760 to the file
Added text 761 to the file
Added text 764 to the file
Added text 762 to the file
Added text 763 to the file
Added text 765 to the file
Added text 766 to the file
Added text 767 to the file
Added text 768 to the file
Added text 770 to the file
Added text 769 to the file
Added text 771 to the file
Added text 772 to the file
Added text 773 to the file
Added text 774 to the file
Added text 775 to the file
Added text 776 to the file
Added text 777 to the file
Added text 778 to the file
Added text 779 to the file
Added text 781 to the file
Added text 780 to the file
Added text 783 to the file
Added text 785 to the file
Added text 782 to the file
Added text 786 to the file
Added text 784 to the file
Added text 787 to the file
Added text 788 to the file
Added text 789 to the file
Added text 790 to the file
Added text 791 to the file
Added text 793 to the file
Added text 792 to the file
Added text 794 to the file
Added text 795 to the file
Added text 796 to the file
Added text 798 to the file
Added text 797 to the file
Added text 799 to the file
Added text 800 to the file
Added text 801 to the file
Added text 802 to the file
Added text 803 to the file
Added text 804 to the file
Added text 805 to the file
Added text 807 to the file
Added text 806 to the file
Added text 808 to the file
Added text 809 to the file
Added text 810 to the file
Added text 811 to the file
Added text 813 to the file
Added text 816 to the file
Added text 812 to the file
Added text 815 to the file
Added text 817 to the file
Added text 814 to the file
Added text 818 to the file
Added text 820 to the file
Added text 819 to the file
Added text 821 to the file
Added text 822 to the file
Added text 823 to the file
Added text 824 to the file
Added text 825 to the file
Added text 827 to the file
Added text 826 to the file
Added text 828 to the file
Added text 830 to the file
Added text 829 to the file
Added text 831 to the file
Added text 832 to the file
Added text 834 to the file
Added text 833 to the file
Added text 835 to the file
Added text 837 to the file
Added text 836 to the file
Added text 838 to the file
Added text 839 to the file
Added text 840 to the file
Added text 842 to the file
Added text 841 to the file
Added text 843 to the file
Added text 844 to the file
Added text 845 to the file
Added text 846 to the file
Added text 847 to the file
Added text 848 to the file
Added text 851 to the file
Added text 849 to the file
Added text 850 to the file
Added text 853 to the file
Added text 852 to the file
Added text 854 to the file
Added text 855 to the file
Added text 856 to the file
Added text 857 to the file
Added text 858 to the file
Added text 859 to the file
Added text 860 to the file
Added text 861 to the file
Added text 862 to the file
Added text 863 to the file
Added text 864 to the file
Added text 865 to the file
Added text 866 to the file
Added text 868 to the file
Added text 867 to the file
Added text 870 to the file
Added text 869 to the file
Added text 871 to the file
Added text 872 to the file
Added text 873 to the file
Added text 874 to the file
Added text 875 to the file
Added text 877 to the file
Added text 876 to the file
Added text 879 to the file
Added text 878 to the file
Added text 880 to the file
Added text 882 to the file
Added text 883 to the file
Added text 884 to the file
Added text 881 to the file
Added text 885 to the file
Added text 886 to the file
Added text 887 to the file
Added text 888 to the file
Added text 889 to the file
Added text 891 to the file
Added text 890 to the file
Added text 892 to the file
Added text 893 to the file
Added text 894 to the file
Added text 896 to the file
Added text 898 to the file
Added text 897 to the file
Added text 895 to the file
Added text 899 to the file
Added text 900 to the file
Added text 901 to the file
Added text 903 to the file
Added text 902 to the file
Added text 905 to the file
Added text 906 to the file
Added text 904 to the file
Added text 907 to the file
Added text 908 to the file
Added text 910 to the file
Added text 909 to the file
Added text 911 to the file
Added text 912 to the file
Added text 913 to the file
Added text 914 to the file
Added text 915 to the file
Added text 916 to the file
Added text 917 to the file
Added text 918 to the file
Added text 919 to the file
Added text 921 to the file
Added text 920 to the file
Added text 922 to the file
Added text 923 to the file
Added text 925 to the file
Added text 924 to the file
Added text 926 to the file
Added text 928 to the file
Added text 927 to the file
Added text 929 to the file
Added text 930 to the file
Added text 931 to the file
Added text 933 to the file
Added text 932 to the file
Added text 934 to the file
Added text 935 to the file
Added text 936 to the file
Added text 937 to the file
Added text 938 to the file
Added text 939 to the file
Added text 941 to the file
Added text 940 to the file
Added text 943 to the file
Added text 942 to the file
Added text 944 to the file
Added text 946 to the file
Added text 945 to the file
Added text 948 to the file
Added text 947 to the file
Added text 949 to the file
Added text 950 to the file
Added text 951 to the file
Added text 952 to the file
Added text 953 to the file
Added text 954 to the file
Added text 955 to the file
Added text 956 to the file
Added text 959 to the file
Added text 960 to the file
Added text 958 to the file
Added text 957 to the file
Added text 961 to the file
Added text 962 to the file
Added text 963 to the file
Added text 964 to the file
Added text 967 to the file
Added text 965 to the file
Added text 966 to the file
Added text 968 to the file
Added text 969 to the file
Added text 970 to the file
Added text 971 to the file
Added text 973 to the file
Added text 972 to the file
Added text 974 to the file
Added text 975 to the file
Added text 976 to the file
Added text 978 to the file
Added text 979 to the file
Added text 977 to the file
Added text 980 to the file
Added text 983 to the file
Added text 981 to the file
Added text 982 to the file
Added text 984 to the file
Added text 985 to the file
Added text 986 to the file
Added text 987 to the file
Added text 988 to the file
Added text 989 to the file
Added text 990 to the file
Added text 992 to the file
Added text 991 to the file
Added text 993 to the file
Added text 995 to the file
Added text 996 to the file
Added text 994 to the file
Added text 998 to the file
Added text 997 to the file
Added text 999 to the file
